,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33
1,40,management and ownership ,information and communication services ,40,7,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,1,home banking ,nessuno,NA,5,6,NA,7,5,2,1,6,7,5,7,5,NA,problems related to technology integration 
2,10,financial and administrative department ,production of food and consumer goods ,10,2,No,No,No,No,No,No,No,No,No,No,0,NA,nessuno,2,2,2,2,2,2,2,2,2,2,2,2,2,2,high costs 
3,27,management and ownership ,"trade, transport and warehousing ",37,5,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,0,NA,home banking,7,7,6,3,6,6,5,6,6,2,5,6,6,6,problems related to technology integration 
4,25,operational area ,information and communication services ,25,1,No,No,No,No,No,No,No,No,No,No,0,NA,nessuno,2,2,1,1,2,2,2,2,2,1,2,1,1,2,lack of expertise 
5,12,management and ownership ,financial and insurance activities ,15,6,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,3,NA,piattaforme onmline,5,4,6,1,6,5,4,6,6,5,4,7,6,5,problems related to technology integration 
6,1,management and ownership ,social services ,10,5,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,0,NA,mobile payment,1,1,1,1,4,1,7,3,3,1,1,1,1,3,resistance to change 
7,5,financial and administrative department ,information and communication services ,23,6,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,0,NA,"inbank, paypal, pagopa",4,3,2,3,6,4,4,4,6,5,5,6,4,6,lack of expertise 
8,3,financial and administrative department ,information and communication services ,30,5,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,0,NA,"inbank, paypal, pagopa",4,6,2,2,5,5,4,4,5,5,6,5,5,6,NA
9,16,financial and administrative department ,manufacturing and industrial activities ,35,6,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,0,NA,tutti i servizi di internet bancario,6,5,7,2,6,7,7,2,7,7,4,4,6,6,problems related to technology integration 
10,1,financial and administrative department ,"trade, transport and warehousing ",1,5,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,0,NA,"home banking per incassi, pagamenti e firme di contratti - paypal - cbill ",3,3,5,1,5,5,5,5,6,5,5,6,6,6,lack of expertise 
11,16,financial and administrative department ,social services ,16,5,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,0,NA,nessuna,6,6,7,7,6,5,5,4,5,5,5,5,5,5,high costs 
12,20,management and ownership ,"agriculture, forestry and fishing ",25,3,No,No,No,No,No,No,No,No,No,Si,0,NA,nessuno,3,3,3,1,3,1,4,3,3,4,2,2,2,2,high costs 
13,7,financial and administrative department ,manufacturing and industrial activities ,8,3,No,No,No,No,No,No,No,No,No,No,0,NA,nessuno,1,1,1,1,1,1,1,1,1,1,1,1,1,1,lack of expertise 
14,35,operational area ,"trade, transport and warehousing ",35,3,No,No,No,No,No,No,No,No,No,No,0,NA,mobile payment,3,3,3,3,6,3,5,3,5,4,4,4,4,4,high costs 
15,19,financial and administrative department ,"production of intermediate goods, energy and waste ",19,4,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,2,NA,"incassi attraverso pos, incassi on line e, in previsione, incassi ""cardless""",5,3,5,3,5,5,5,4,5,3,4,4,4,4,"resistance to change, problems related to technology integration, lack of expertise "
16,4,financial and administrative department ,manufacturing and industrial activities ,40,5,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,1,azienda in fase di evoluzione e  rinnovamento sia tecnologico  che nel supporto finanziario,sino ad ora l'azienda utilizza tutti quegli strumenti che possiamo considerare comunemente in uso  e proposte dal settore finanziario a tutte le aziende.,3,4,5,3,5,5,5,4,3,5,4,5,6,6,NA
18,8,operational area ,"agriculture, forestry and fishing ",8,5,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,3,NA,nessuno,5,4,4,3,5,5,5,6,5,3,4,6,5,6,high costs 
